line,category,post_id,text
497,post_header,raw-L00497,130 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:47
498,body,raw-L00497,メガトンパンチもあるぞ
499,body,raw-L00497,ギガトンパンチのパワーアップした技だ
500,blank,,
501,post_header,raw-L00501,139 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:49
502,body,raw-L00501,うるさいよおまえら
503,blank,,
504,blank,, 
505,blank,,
506,blank,, 
507,blank,,
508,section_title,,【Ｆ91】スパロボｲﾝﾊﾟｸﾄ146【廃棄処分】
509,blank,, 
510,blank,,
511,blank,, 
512,blank,,
513,post_header,raw-L00513,388 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/13(月) 17:20
514,body,raw-L00513,おまえらって引き篭もりのオタクだべ？
515,blank,,
516,post_header,raw-L00516,398 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/13(月) 17:22
517,body,raw-L00516,俺がロトだって決め付けてやがる
518,body,raw-L00516,馬鹿だなおまえら
519,blank,,
520,post_header,raw-L00520,406 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/13(月) 17:23
521,body,raw-L00520,388は俺じゃないぞ
522,body,raw-L00520,俺がロトだ
523,blank,,
524,post_header,raw-L00524,412 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/13(月) 17:24
525,body,raw-L00524,適当ばっかこいてるなよ
526,blank,,
527,post_header,raw-L00527,414 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/13(月) 17:25
528,body,raw-L00527,自演はおまえらだべ？
529,blank,,
530,post_header,raw-L00530,422 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/13(月) 17:26
531,body,raw-L00530,オタク臭いやつらばっかりだな
532,blank,,
533,post_header,raw-L00533,428 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/13(月) 17:28
534,body,raw-L00533,タバコでも買ってくるかな
535,body,raw-L00533,バイクに乗ってよ
536,blank,,
537,post_header,raw-L00537,430 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/13(月) 17:28
538,body,raw-L00537,俺は不良だから無免許でヘルメットかぶらないべ
539,blank,,
540,post_header,raw-L00540,433 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/13(月) 17:29
541,anchor,raw-L00540,>>431
542,body,raw-L00540,不良の世界は甘くないべ
543,body,raw-L00540,俺は危ないやつだ
544,blank,,
545,post_header,raw-L00545,435 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/13(月) 17:30
546,anchor,raw-L00545,>>434
547,body,raw-L00545,半端な奴じゃ不良になるのは無理だべ？
548,blank,,
549,post_header,raw-L00549,440 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/13(月) 17:31
550,body,raw-L00549,不良は大変だべ
551,body,raw-L00549,今日もこれからタイマンの約束があるしよ
552,blank,,
553,post_header,raw-L00553,446 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/13(月) 17:34
554,body,raw-L00553,さてとタイマン行ってくるか
555,body,raw-L00553,多分俺が勝つけどよ
556,blank,,
